No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
6406.0,20290,19809,23,20,-481,1026,852,119,0,8,0.0035903840149859507,0.0031220730565095223,0.16016234779893848,0.13300031220730565,0.0,0.019825163908835465,3
6407.0,20293,19817,23,20,-476,1026,852,119,0,8,0.0035898236304042455,0.003121585765568909,0.16013734977368504,0.13297955361323552,0.0,0.019822069611362573,3
6408.0,20296,19817,23,20,-479,1026,852,119,0,8,0.003589263420724095,0.003121098626716604,0.1601123595505618,0.13295880149812733,0.0,0.019818976279650437,3
6409.0,20299,19817,23,20,-482,1027,852,119,0,8,0.003588703385863629,0.0031206116398814166,0.16024340770791076,0.13293805585894836,0.0,0.019815883913246995,3
6410.0,20302,19825,23,20,-477,1027,852,119,0,8,0.0035881435257410295,0.0031201248049922,0.16021840873634946,0.1329173166926677,0.0,0.01981279251170047,3
6411.0,20305,19825,23,20,-480,1028,852,119,0,8,0.003587583840274528,0.0031196381219778507,0.1603493994696615,0.13289658399625642,0.0,0.01980970207455935,3
6412.0,20308,19833,23,20,-475,1028,852,119,0,8,0.003587024329382408,0.0031191515907673115,0.1603243917654398,0.13287585776668745,0.0,0.019806612601372425,3
6413.0,20311,19833,23,20,-478,1028,852,120,0,8,0.0035864649929830033,0.003118665211289568,0.1602993918602838,0.1328551380009356,0.0,0.019959457352253237,3
6414.0,20314,19835,23,20,-479,1028,852,120,0,8,0.003585905830994699,0.0031181789834736516,0.1602743997505457,0.13283442469597756,0.0,0.019956345494231368,3
6415.0,20317,19835,23,20,-482,1028,852,121,0,8,0.0035853468433359316,0.003117692907248636,0.1602494154325799,0.1328137178487919,0.0,0.020109119251753703,3
6416.0,20320,19837,23,20,-483,1028,852,121,0,8,0.003584788029925187,0.003117206982543641,0.16022443890274315,0.1327930174563591,0.0,0.020105985037406484,3
6417.0,20323,19837,23,20,-486,1029,852,121,0,8,0.0035842293906810036,0.003116721209287829,0.16035530621785882,0.1327723235156615,0.0,0.020102851799906497,3
6418.0,20326,19845,23,20,-481,1029,852,121,0,8,0.0035836709255219696,0.0031162355874104083,0.16033032097226552,0.1327516360236834,0.0,0.020099719538797134,3
6419.0,20329,19845,23,20,-484,1029,852,121,0,8,0.003583112634366724,0.003115750116840629,0.16030534351145037,0.1327309549774108,0.0,0.02009658825362206,3
6420.0,20332,19845,23,20,-487,1029,853,121,0,8,0.0035825545171339563,0.003115264797507788,0.1602803738317757,0.13286604361370716,0.0,0.020093457943925235,3
6421.0,20335,19848,23,20,-487,1029,853,121,0,8,0.003581996573742408,0.003114779629341224,0.160255411929606,0.1328453511914032,0.0,0.020090328609250894,3
6422.0,20338,19848,23,20,-490,1030,853,121,0,8,0.0035814388041108688,0.003114294612270321,0.16038617253192153,0.13282466521332917,0.0,0.02008720024914357,3
6423.0,20341,19856,23,20,-485,1030,853,121,0,8,0.0035808812081581814,0.0031138097462245057,0.16036120193056205,0.13280398567647517,0.0,0.02008407286314806,3
6424.0,20344,19856,23,20,-488,1030,853,121,0,8,0.003580323785803238,0.00311332503113325,0.1603362391033624,0.13278331257783313,0.0,0.020080946450809465,3
6425.0,20347,19856,23,20,-491,1030,853,121,0,8,0.0035797665369649806,0.0031128404669260703,0.16031128404669262,0.13276264591439688,0.0,0.02007782101167315,3
6426.0,20350,19856,23,20,-494,1030,854,121,0,8,0.0035792094615624027,0.003112356053532524,0.160286336756925,0.1328976034858388,0.0,0.020074696545284782,3
6427.0,20353,19859,23,20,-494,1030,854,121,0,8,0.003578652559514548,0.0031118717908822156,0.16026139723043412,0.13287692547067062,0.0,0.02007157305119029,3
